corpus,model,normalization,metric,topic01,topic02,topic03,topic04,topic05,topic06,topic07,topic08,topic09,topic10,average
Android,BTM,lemma,ca,0.064393323,0.127131902,0.08981819,0.373408977,0.198624995,0.039180675,0.090767754,0.084537263,0.171006536,0.143306243,0.138217586
Android,BTM,lemma,cp,-0.011217615,0.055094515,-0.122356944,0.080959048,-0.266833727,-0.255187188,0.115865754,-0.068126145,0.354268678,0.021631185,-0.009590244
Android,BTM,lemma,npmi,-0.016331291,-0.076387281,-0.123007597,-0.10879195,-0.122675754,-0.087252013,-0.050493756,5.03E-06,0.013692027,-0.005942812,-0.05771854
Android,BTM,lemma,umass,-2.517606347,-1.77151176,-3.049212971,-1.765008983,-2.927612448,-1.665779113,-11.06719753,-1.821129888,-2.403010441,-2.638271858,-3.162634134
Android,DMM,lemma,ca,0.061850848,0.102064109,0.202198291,0.084921334,0.102838575,0.031586523,0.092435742,0.123965196,0.133924586,0.105490371,0.104127558
Android,DMM,lemma,cp,-0.559968375,-0.17559139,0.034844397,-0.221342341,0.110971729,-0.154161563,0.099014456,0.258674752,-0.187327595,-0.143626188,-0.093851212
Android,DMM,lemma,npmi,-0.151705986,-0.099830548,-0.032840682,-0.074700583,0.015362446,-0.024506582,0.015732888,0.042201879,-0.197652227,-0.070607991,-0.057854739
Android,DMM,lemma,umass,-10.7592666,-5.533088662,-1.638523337,-6.574688722,-2.243912468,-1.317075406,-2.481102313,-1.817139858,-4.009156312,-2.122474963,-3.849642864
Android,GPU-PDMM,lemma,ca,0.319090926,0.097589489,0.133255555,0.208294409,0.067748394,0.105154366,0.07475637,0.094983357,0.152987739,0.194931229,0.144879183
Android,GPU-PDMM,lemma,cp,-0.381168946,0.149338691,0.157283726,-0.517426795,-0.230539403,0.058950584,-0.104593727,-0.040944998,0.15598931,0.035897209,-0.071721435
Android,GPU-PDMM,lemma,npmi,-0.000544302,-0.071883851,0.009526593,-0.256803023,-0.065808255,-0.066152033,-0.035930691,-0.073006187,0.043290744,-0.133878429,-0.065118943
Android,GPU-PDMM,lemma,umass,-1.084237269,-2.474280669,-3.356935959,-5.685111289,-8.003638532,-3.680461898,-3.454111997,-3.692167096,-2.097986861,-3.893158389,-3.742208996
Android,WNTM,lemma,ca,0.116612374,0.127155372,0.121979535,0.108375235,0.037813632,0.094521482,0.179861747,0.027990574,0.074343475,0.171482296,0.106013572
Android,WNTM,lemma,cp,-0.78575459,0.311906693,0.267277909,0.089696974,0.03552059,-0.078642161,-0.015625469,-0.426132672,-0.127640446,0.213645997,-0.051574718
Android,WNTM,lemma,npmi,-0.145208592,0.039630517,0.047686748,0.015890817,0.003915054,-0.149636024,-0.053049734,-0.010273087,-0.032444953,-0.00730488,-0.029079413
Android,WNTM,lemma,umass,-10.89780134,-2.711486912,-1.805179349,-2.952786716,-0.796262689,-2.250512661,-1.726349081,-0.567530625,-1.611767005,-2.810336253,-2.813001263
Android,LDA,lemma,ca,0.107463865,0.177973877,0.182532678,0.261273673,0.488674253,0.173736073,0.063053881,0.148578754,0.142993695,0.356997626,0.210327838
Android,LDA,lemma,cp,0.061552335,0.105540596,0.037738681,-0.050555218,0.190272055,0.190440223,-0.559968375,0.000533308,0.017241458,-0.295663948,-0.030286888
Android,LDA,lemma,npmi,-0.154179454,-0.052416618,-0.089884493,0.026586571,0.037361041,-0.024115393,-0.151705986,-0.01226334,-0.108777531,-0.102081199,-0.06314764
Android,LDA,lemma,umass,-2.093360034,-3.093425761,-9.943176348,-1.79805639,-2.024080694,-2.560833037,-10.7592666,-2.849265439,-3.242727226,-8.965070153,-4.732926168
Flutter,BTM,lemma,ca,0.293033856,0.245063967,0.303621619,0.356340064,0.356484454,0.104083595,0.09126844,0.140053336,0.112974858,0.08407188,0.208699607
Flutter,BTM,lemma,cp,-0.513251124,0.327882877,0.04121184,-0.121240484,-0.651946625,0.061302119,0.066578406,-0.262112387,-0.126226027,-0.076222068,-0.125402347
Flutter,BTM,lemma,npmi,-0.048209583,0.013686463,-0.008928709,-0.044335045,-0.066414941,-0.028634057,0.000707463,-0.222660118,-0.124694812,-0.019618225,-0.054910156
Flutter,BTM,lemma,umass,-1.94957797,-6.812374265,-1.462267504,-4.496648864,-1.921434234,-2.57216258,-2.096887612,-4.359166678,-4.265016477,-3.019089929,-3.295462611
Flutter,DMM,lemma,ca,0.124724683,0.318864312,0.354131216,0.304518478,0.302480715,0.232910843,0.301349098,0.124767073,0.109166652,0.094659773,0.226757284
Flutter,DMM,lemma,cp,0.094051282,-0.263541634,-0.159329487,-0.126414389,0.081359426,0.062703512,-0.099106216,0.01620314,-0.532925144,-0.024814352,-0.095181386
Flutter,DMM,lemma,npmi,-0.045639572,-0.089686923,-0.119445093,-0.059779688,0.001667666,0.000255025,-0.060236324,-0.03177485,-0.055582379,-0.007053168,-0.046727531
Flutter,DMM,lemma,umass,-3.883642574,-2.219562966,-5.248358866,-3.259808151,-1.78402218,-2.187387888,-3.655670222,-2.230341762,-1.38251115,-2.733274666,-2.858458042
Flutter,GPU-PDMM,lemma,ca,0.198169977,0.324700611,0.390378173,0.444448299,0.103475871,0.317729057,0.067325065,0.172654129,0.302480715,0.103702185,0.242506408
Flutter,GPU-PDMM,lemma,cp,-0.589773228,0.156832742,-0.209160545,-0.004246628,-0.180493717,-0.116976531,-0.044639452,0.221977891,0.081359426,0.099142474,-0.058597757
Flutter,GPU-PDMM,lemma,npmi,-0.067617022,0.047335884,-0.17991299,0.026642267,-0.084309195,-0.110995348,-0.023013643,0.044405841,0.001667666,0.008076372,-0.033772017
Flutter,GPU-PDMM,lemma,umass,-3.439912935,-3.00294572,-2.969266046,-5.647036082,-8.421618126,-3.439385229,-2.322292899,-1.596555932,-1.78402218,-1.685871305,-3.430890646
Flutter,WNTM,lemma,ca,0.307154506,0.128563029,0.155514204,0.352084729,0.281469705,0.160663217,0.286303865,0.285469583,0.075976126,0.120568133,0.21537671
Flutter,WNTM,lemma,cp,0.335537452,-0.081011971,0.068060962,-0.12461997,-0.421446214,0.067191519,-0.423763926,-0.46228454,-0.296028063,-0.055584235,-0.139394899
Flutter,WNTM,lemma,npmi,0.050989169,-0.008587941,-0.015491271,-0.097112082,-0.037031441,0.000707463,-0.032225901,-0.146694854,-0.145223912,-0.071946672,-0.050261744
Flutter,WNTM,lemma,umass,-6.09759083,-2.450719837,-2.523315517,-7.180784646,-1.908111758,-1.770198516,-1.740144367,-5.324787723,-8.531338911,-2.749278809,-4.027627092
Flutter,LDA,lemma,ca,0.01391168,0.607854114,0.606145412,0.668585054,0.096051608,0.606341022,0.230087599,0.444567477,0.327997542,0.233666393,0.38352079
Flutter,LDA,lemma,cp,-0.414275714,0.44794977,-0.048825954,-0.019743454,-0.076222068,0.04846546,0.028827794,0.081250561,-0.349467031,-0.275296265,-0.05773369
Flutter,LDA,lemma,npmi,-0.123081892,0.086926149,0.051967796,-0.126507457,-0.019618225,-0.005609416,-0.028770643,0.000817454,-0.158779431,0.006041974,-0.031661369
Flutter,LDA,lemma,umass,-9.283095199,-2.190104178,-5.376301634,-1.854853835,-3.019089929,-1.630691791,-3.155240107,-1.746500377,-2.841910705,-0.946988237,-3.204477599
Jenkinsci,BTM,lemma,ca,0.156342371,0.144508655,0.128336506,0.081279047,0.079788308,0.136280017,0.176094781,0.123302489,0.132573727,0.120113659,0.127861956
Jenkinsci,BTM,lemma,cp,0.044414756,-0.360808613,-0.222011246,-0.314485539,-0.351148214,-0.263338608,-0.218863236,-0.491266698,0.351373108,0.019358519,-0.180677577
Jenkinsci,BTM,lemma,npmi,-0.028514181,-0.247291367,-0.110839733,-0.169153135,-0.143930222,-0.056241376,0.002440288,-0.141203194,-0.112854704,-0.011454915,-0.101904254
Jenkinsci,BTM,lemma,umass,-2.246542996,-7.467432859,-8.243131798,-7.914832815,-8.358629237,-10.09241966,-0.749383638,-5.035590735,-3.54409386,-2.067283083,-5.571934068
Jenkinsci,DMM,lemma,ca,0.110383479,0.10051962,0.099025667,0.088752049,0.107466404,0.200613231,0.187394609,0.071722425,0.265345233,0.239334516,0.147055723
Jenkinsci,DMM,lemma,cp,0.286027031,-0.453271039,0.018459099,0.005497494,-0.02306801,-0.058716631,0.363031126,-0.382415906,0.061456191,0.242536776,0.005953613
Jenkinsci,DMM,lemma,npmi,-0.087702967,-0.219847924,-0.123224113,-0.061246878,0.015102059,0.007490017,0.086179851,-0.153895611,-0.064455232,-0.176225179,-0.077782598
Jenkinsci,DMM,lemma,umass,-3.019470459,-8.099298533,-3.472551303,-1.909390873,-0.670213968,-9.32459305,-3.238477544,-6.948694478,-5.029077445,-3.641124518,-4.535289217
Jenkinsci,GPU-PDMM,lemma,ca,0.211581852,0.280473163,0.104537954,0.170201968,0.111068644,0.128089768,0.146875495,0.145610847,0.199047205,0.066825487,0.156431238
Jenkinsci,GPU-PDMM,lemma,cp,0.179386449,-0.027403687,0.097189688,0.209058591,0.013532897,0.116821282,0.172526153,0.148938848,-0.05580619,-0.153525525,0.070071851
Jenkinsci,GPU-PDMM,lemma,npmi,-0.13192371,-0.138854902,0.012621961,0.056103674,-0.013956408,-0.150993945,0.044675675,0.04483655,0.045333911,-0.056103312,-0.028826051
Jenkinsci,GPU-PDMM,lemma,umass,-3.389608505,-2.814388688,-2.179276884,-2.7294248,-4.014650766,-2.445434703,-1.924747701,-2.026897433,-0.69052156,-5.441482721,-2.765643376
Jenkinsci,WNTM,lemma,ca,0.112021265,0.271028813,0.065389215,0.075829506,0.099233271,0.153020046,0.13403566,0.060986157,0.117566735,0.082005532,0.11711162
Jenkinsci,WNTM,lemma,cp,-0.609255385,0.021566765,-0.708822538,-0.378859332,-0.046847596,-0.013729224,0.043694306,-0.120051167,-0.291235345,-0.025873747,-0.212941326
Jenkinsci,WNTM,lemma,npmi,-0.063564935,-0.061159552,-0.229895967,-0.198866867,-0.04474328,-0.147911929,-0.028514181,0.002440288,-0.123134649,0.015102059,-0.088024901
Jenkinsci,WNTM,lemma,umass,-15.00266706,-6.123536785,-7.403649622,-8.142216229,-2.701362169,-3.511207039,-2.82425824,-1.122160917,-4.634515234,-0.515381006,-5.19809543
Jenkinsci,LDA,lemma,ca,0.533212742,0.097748225,0.162932355,0.448623482,0.239387046,0.431773029,0.323923203,0.653841737,-0.01814903,-0.010415246,0.286287754
Jenkinsci,LDA,lemma,cp,0.062303952,0.049862126,-0.387024337,0.030118284,0.188203984,0.165466388,-0.013111799,0.139059829,0.06744727,-0.299518812,0.000280689
Jenkinsci,LDA,lemma,npmi,-0.037563953,-0.103596936,-0.140046113,-0.006832488,-0.00924289,0.091539191,0.015211681,-0.004941848,-0.126759388,-0.092906253,-0.0415139
Jenkinsci,LDA,lemma,umass,-2.033523818,-4.031174957,-13.37748882,-1.643828654,-2.806995312,-0.804177565,-1.516189817,-2.350233685,-6.610954446,-8.886054831,-4.406062191
ConsenSys,BTM,lemma,ca,0.642382895,0.442259844,0.102059241,0.212785428,-0.068185738,0.095553458,0.069288817,0.243144286,0.304517176,0.163724244,0.220752965
ConsenSys,BTM,lemma,cp,-0.358854832,0.035045954,-0.181956955,-0.379672001,-0.303289378,-0.359998397,-0.367330213,-0.347290001,0.092772514,-0.410373494,-0.25809468
ConsenSys,BTM,lemma,npmi,-0.090244904,-0.017911142,-0.090261216,0.001253726,-0.171618673,-0.107520586,-0.115205174,-0.094154629,0.017127208,-0.106368264,-0.077490365
ConsenSys,BTM,lemma,umass,-5.809406966,-2.084598914,-3.213565744,-0.33136428,-6.968444414,-8.21617734,-6.597839672,-8.512169047,-2.31381887,-7.962334705,-5.200971995
ConsenSys,DMM,lemma,ca,0.610900315,0.596299177,0.176575192,0.188670035,0.440158999,0.429608012,0.49055577,0.277984832,0.368543518,0.416115899,0.399541175
ConsenSys,DMM,lemma,cp,-0.192480842,-0.3948964,-0.405142421,-0.127370904,0.01399993,0.092023041,0.055022895,0.047063279,-0.02316443,-0.428470317,-0.136341617
ConsenSys,DMM,lemma,npmi,-0.120992319,-0.009495013,-0.102777371,-0.135691825,-0.016858105,-0.000991643,0.004387567,0.056331085,0.046480097,-0.093864586,-0.037347211
ConsenSys,DMM,lemma,umass,-4.259149461,-1.373146716,-7.195034457,-3.222900246,-1.604118064,-1.894532504,-2.711288846,-9.05997724,-2.059213314,-7.072430436,-4.045179128
ConsenSys,GPU-PDMM,lemma,ca,0.413190113,0.076842801,0.158159898,0.469945718,0.49055577,0.325685831,0.186682584,0.634726048,0.520621083,0.542840212,0.381925006
ConsenSys,GPU-PDMM,lemma,cp,-0.142073313,-0.369549865,-0.319787119,0.019933167,0.052684273,-0.272910477,0.079803199,-0.421403245,0.14191418,0.360062857,-0.087132634
ConsenSys,GPU-PDMM,lemma,npmi,-0.028542532,-0.071280412,-0.107684903,-0.000603643,0.004387567,-0.057889048,-0.039599278,-0.100227074,0.023083318,0.066692087,-0.031166392
ConsenSys,GPU-PDMM,lemma,umass,-1.2872141,-4.223401649,-6.537125203,-2.236457976,-1.886787523,-5.145034641,-3.266797367,-4.392592494,-1.491594935,-2.946212763,-3.341321865
ConsenSys,WNTM,lemma,ca,0.304029594,0.278739577,0.105648161,0.560255742,0.043619673,0.165725209,-0.006658395,0.417940895,0.117445629,0.104194367,0.209094045
ConsenSys,WNTM,lemma,cp,-0.164552767,-0.127708815,-0.028375421,0.306238013,-0.279672001,-0.421677956,-0.434513216,-0.331202538,-0.167371258,0.026183231,-0.162265273
ConsenSys,WNTM,lemma,npmi,0.032316666,-0.112855362,-0.035924249,0.07432937,0.001253726,-0.100227074,-0.146399819,-0.131789937,-0.118083266,-0.040214453,-0.05775944
ConsenSys,WNTM,lemma,umass,-1.167603207,-4.274534563,-2.089130362,-1.89028005,-0.33136428,-7.478240742,-9.624839448,-4.022549339,-4.680494743,-2.779386428,-3.833842316
ConsenSys,LDA,lemma,ca,0.511455674,0.158159898,0.455820387,0.49055577,0.375338132,0.050506045,0.235372471,0.195278357,0.253916351,0.216966934,0.294337002
ConsenSys,LDA,lemma,cp,0.054581123,-0.319787119,0.072304974,0.055022895,-0.301884852,-0.014080714,-0.127710462,-0.366143817,-0.261040032,-0.426623285,-0.163536129
ConsenSys,LDA,lemma,npmi,0.005572661,-0.107684903,0.001871081,0.004387567,-0.097769599,5.07E-06,-0.135691825,-0.086564935,0.004823902,-0.106673102,-0.051772408
ConsenSys,LDA,lemma,umass,-2.180290173,-6.537125203,-2.594875571,-2.711288846,-2.844161035,-1.990812673,-2.847249826,-6.203918002,-1.286103901,-7.706935442,-3.690276067
WebpackDocs,BTM,lemma,ca,0.399823322,0.616817837,0.039328826,0,0.263231154,0.60200162,0.032778837,0.148917073,0.114680614,0.094994249,0.231257353
WebpackDocs,BTM,lemma,cp,-0.03046521,0.531907784,-0.113499617,-0.3,0.115835967,-0.413502292,-0.084990165,-0.49038535,-0.170569688,-0.305511184,-0.126117976
WebpackDocs,BTM,lemma,npmi,-0.013279131,0.006427763,-0.12637153,0,0.024150884,-0.011817858,-0.096511733,-0.059236877,0.008396662,-0.078024546,-0.034626637
WebpackDocs,BTM,lemma,umass,-2.005299979,-3.182603861,-8.208627512,0,-3.989175513,-1.296881117,-2.883288961,-6.18580955,-0.664652805,-3.878061292,-3.229440059
WebpackDocs,DMM,lemma,ca,0.448999175,0.490956231,0.114680614,0.556700017,0.007861395,0.123965226,0.304742075,0.17239111,0.310637268,0.288239836,0.281917295
WebpackDocs,DMM,lemma,cp,0.023731163,0.054021118,-0.170569688,-0.427728447,-0.366034868,-0.435696647,-0.248025101,-0.112719389,-0.545761598,-0.195568219,-0.242435168
WebpackDocs,DMM,lemma,npmi,0.048876387,0.011038564,0.008396662,-0.024842267,-0.001805537,-0.029065491,0.004829298,0.022337122,-0.082603867,-0.054625011,-0.009746414
WebpackDocs,DMM,lemma,umass,-1.71749488,-2.093532305,-0.664652805,-1.523622428,-3.071201468,-0.881803542,-1.219742568,-1.620363616,-5.788913919,-9.748048181,-2.832937571
WebpackDocs,GPU-PDMM,lemma,ca,-0.024933963,0.231587396,0.114680614,0.517767358,0.164512348,0.515818936,0.378221714,-0.075388467,0.217194893,0.126261811,0.216572264
WebpackDocs,GPU-PDMM,lemma,cp,-0.205398396,0.011221971,0.029430312,0.248872638,-0.316365166,0.248938864,-0.355608607,-0.409605461,-0.378305137,-0.301936944,-0.142875593
WebpackDocs,GPU-PDMM,lemma,npmi,-0.057372928,-0.037329421,0.008396662,0.053861553,-0.116998788,0.037712696,-0.002144636,-0.055892857,-0.074875048,-0.137128998,-0.038177176
WebpackDocs,GPU-PDMM,lemma,umass,-0.795696786,-3.46390358,-0.664652805,-1.902528212,-6.719490963,-2.104551968,-1.732524699,-2.530837661,-1.224264485,-6.807563069,-2.794601423
WebpackDocs,WNTM,lemma,ca,0.191711781,0.302787977,0.193642031,0.00680868,0.046620398,-0.066660613,0.284207424,0.114680614,0.274831321,0.260192848,0.160882246
WebpackDocs,WNTM,lemma,cp,-0.118877406,-0.262625958,0.064769415,-0.541391521,-0.195209001,-0.342624751,0.366332405,-0.170569688,0.068374302,0.046216118,-0.108560609
WebpackDocs,WNTM,lemma,npmi,-0.086366216,0.024939616,-0.023603785,-0.15835716,-0.097389404,-0.069261916,0.075681183,0.008396662,-0.000592686,-0.014327296,-0.0340881
WebpackDocs,WNTM,lemma,umass,-5.223134732,-1.870855803,-3.316176763,-8.547828009,-8.127692545,-7.225758341,-3.010739345,-0.664652805,-3.031218572,-1.307802074,-4.232585899
WebpackDocs,LDA,lemma,ca,0.01803034,0.607633368,0.201948041,0.034058958,0.402718956,0.114680614,0.094349392,-0.00483773,0.483486448,0.529472654,0.248154104
WebpackDocs,LDA,lemma,cp,-0.279711176,0.293540527,-0.312108635,-0.229430406,-0.075688267,-0.170569688,-0.39146381,-0.57880646,0.168775105,-0.25612275,-0.183158556
WebpackDocs,LDA,lemma,npmi,-0.017669428,0.07173872,-0.076526343,-0.089746607,-0.054846425,0.008396662,-0.137042195,-0.099190165,0.031057855,0.037654114,-0.032617381
