id,model_corpus,metric,topic01,topic02,topic03,topic04,topic05,topic06,topic07,topic08,topic09,topic10,average
0,AndroidBTM_Lemma_Palmetto.csv,ca,0.064393323,0.127131902,0.08981819,0.373408977,0.198624995,0.039180675,0.090767754,0.084537263,0.171006536,0.143306243,0.138217586
1,AndroidBTM_Lemma_Palmetto.csv,cp,-0.011217615,0.055094515,-0.122356944,0.080959048,-0.266833727,-0.255187188,0.115865754,-0.068126145,0.354268678,0.021631185,-0.009590244
2,AndroidBTM_Lemma_Palmetto.csv,npmi,-0.016331291,-0.076387281,-0.123007597,-0.10879195,-0.122675754,-0.087252013,-0.050493756,5.03E-06,0.013692027,-0.005942812,-0.05771854
5,AndroidBTM_Lemma_ToolkitMimno.csv,umass,-0.373279934,-0.261569121,-0.074762262,-0.844053469,-0.299784571,0.416985487,-0.642421367,-0.069731655,-0.023545617,-0.067537297,-0.223969981
6,AndroidDMM_Lemma_Palmetto.csv,ca,0.061850848,0.102064109,0.202198291,0.084921334,0.102838575,0.031586523,0.092435742,0.123965196,0.133924586,0.105490371,0.104127558
7,AndroidDMM_Lemma_Palmetto.csv,cp,-0.559968375,-0.17559139,0.034844397,-0.221342341,0.110971729,-0.154161563,0.099014456,0.258674752,-0.187327595,-0.143626188,-0.093851212
8,AndroidDMM_Lemma_Palmetto.csv,npmi,-0.151705986,-0.099830548,-0.032840682,-0.074700583,0.015362446,-0.024506582,0.015732888,0.042201879,-0.197652227,-0.070607991,-0.057854739
11,AndroidDMM_Lemma_ToolkitMimno.csv,umass,0.316005982,-0.027062997,-0.543504567,-0.585772376,-0.53573943,-0.540284398,-0.961730718,-0.355740599,-0.233695119,-0.408147072,-0.387567129
12,AndroidGPU_PDMM_Lemma_Palmetto.csv,ca,0.319090926,0.097589489,0.133255555,0.208294409,0.067748394,0.105154366,0.07475637,0.094983357,0.152987739,0.194931229,0.144879183
13,AndroidGPU_PDMM_Lemma_Palmetto.csv,cp,-0.381168946,0.149338691,0.157283726,-0.517426795,-0.230539403,0.058950584,-0.104593727,-0.040944998,0.15598931,0.035897209,-0.071721435
14,AndroidGPU_PDMM_Lemma_Palmetto.csv,npmi,-0.000544302,-0.071883851,0.009526593,-0.256803023,-0.065808255,-0.066152033,-0.035930691,-0.073006187,0.043290744,-0.133878429,-0.065118943
17,AndroidGPU_PDMM_Lemma_ToolkitMimno.csv,umass,-0.933571432,-0.483151311,-0.323642787,-0.190394671,-0.864502852,-0.015975036,-0.589903727,-0.335384564,-0.433448782,-0.633166061,-0.480314122
18,AndroidWNTM_Lemma_Palmetto.csv,ca,0.116612374,0.127155372,0.121979535,0.108375235,0.037813632,0.094521482,0.179861747,0.027990574,0.074343475,0.171482296,0.106013572
19,AndroidWNTM_Lemma_Palmetto.csv,cp,-0.78575459,0.311906693,0.267277909,0.089696974,0.03552059,-0.078642161,-0.015625469,-0.426132672,-0.127640446,0.213645997,-0.051574718
20,AndroidWNTM_Lemma_Palmetto.csv,npmi,-0.145208592,0.039630517,0.047686748,0.015890817,0.003915054,-0.149636024,-0.053049734,-0.010273087,-0.032444953,-0.00730488,-0.029079413
23,AndroidWNTM_Lemma_ToolkitMimno.csv,umass,-0.337845499,-0.656341415,-0.307969123,-0.232629416,-0.117991389,-0.133538498,-0.332266303,0.231001513,-0.36268968,-0.219448163,-0.246971797
24,FlutterBTM_Lemma_Palmetto.csv,ca,0.293033856,0.245063967,0.303621619,0.356340064,0.356484454,0.104083595,0.09126844,0.140053336,0.112974858,0.08407188,0.208699607
25,FlutterBTM_Lemma_Palmetto.csv,cp,-0.513251124,0.327882877,0.04121184,-0.121240484,-0.651946625,0.061302119,0.066578406,-0.262112387,-0.126226027,-0.076222068,-0.125402347
26,FlutterBTM_Lemma_Palmetto.csv,npmi,-0.048209583,0.013686463,-0.008928709,-0.044335045,-0.066414941,-0.028634057,0.000707463,-0.222660118,-0.124694812,-0.019618225,-0.054910156
29,FlutterBTM_Lemma_ToolkitMimno.csv,umass,-2.869374651,-2.928715051,-3.027020505,-3.280374218,-3.178723033,-2.591387572,-2.919653485,-4.19958702,-3.58468789,-2.249766351,-3.082928978
30,FlutterDMM_Lemma_Palmetto.csv,ca,0.124724683,0.318864312,0.354131216,0.304518478,0.302480715,0.232910843,0.301349098,0.124767073,0.109166652,0.094659773,0.226757284
31,FlutterDMM_Lemma_Palmetto.csv,cp,0.094051282,-0.263541634,-0.159329487,-0.126414389,0.081359426,0.062703512,-0.099106216,0.01620314,-0.532925144,-0.024814352,-0.095181386
32,FlutterDMM_Lemma_Palmetto.csv,npmi,-0.045639572,-0.089686923,-0.119445093,-0.059779688,0.001667666,0.000255025,-0.060236324,-0.03177485,-0.055582379,-0.007053168,-0.046727531
